"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"kotlin_benchmarks.array.fill.IdentityOpt.Ref_to_Ref_as_Ref_fillinst","avgt",1,15,153.164250,34.378185,"ns/op",100
"kotlin_benchmarks.array.fill.IdentityOpt.Ref_to_Ref_as_Ref_fillinst","avgt",1,15,42605716.502202,16458289.078607,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Def_to_Ref_as_Ref_arrayfill","avgt",1,15,326.057490,55.481519,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Def_to_Ref_as_Ref_arrayfill","avgt",1,15,29226726.348230,14643734.046169,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Def_to_Ref_as_Ref_fill","avgt",1,15,1380.770686,426.508324,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Def_to_Ref_as_Ref_fill","avgt",1,15,14014974.750865,9131617.909629,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Def_to_Val_as_Val_arrayfill","avgt",1,15,369.203722,80.883848,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Def_to_Val_as_Val_arrayfill","avgt",1,15,29204390.849576,7682504.989282,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Def_to_Val_as_Val_fill","avgt",1,15,1109.867162,309.329904,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Def_to_Val_as_Val_fill","avgt",1,15,11915877.705831,5266946.586257,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.New_to_Ref_as_Ref_arrayfill","avgt",1,15,269.882726,72.065263,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.New_to_Ref_as_Ref_arrayfill","avgt",1,15,26497466.622752,20297040.557454,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.New_to_Ref_as_Ref_fill","avgt",1,15,624.082286,137.313221,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.New_to_Ref_as_Ref_fill","avgt",1,15,11501474.878871,6323788.584390,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.New_to_Val_as_Val_arrayfill","avgt",1,15,280.585176,61.302532,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.New_to_Val_as_Val_arrayfill","avgt",1,15,23107716.959860,16226621.640413,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.New_to_Val_as_Val_fill","avgt",1,15,722.809877,164.339646,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.New_to_Val_as_Val_fill","avgt",1,15,16189325.222049,9425074.098312,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Ref_as_Ref_arrayfillinst","avgt",1,15,275.612599,51.732690,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Ref_as_Ref_arrayfillinst","avgt",1,15,25002664.369522,22362834.334367,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Ref_as_Ref_arrayfillstat","avgt",1,15,257.638774,45.237834,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Ref_as_Ref_arrayfillstat","avgt",1,15,29726557.413333,18641926.494441,"ns/op",1000000
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Ref_as_Ref_fillinst","avgt",1,15,304.317205,55.633969,"ns/op",100
"kotlin_benchmarks.array.fill.Inline128int.Ref_to_Ref_as_Ref_fillinst","avgt",1,15,28581882.552255,19213103.419966,"ns/op",1000000
